trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
22,0,22,0,10,73.70689809997566,73.70689809997566,0.03703669999958947,[0.2373046875],[-0.1259765625],[1],[0],[0],[2.0423960000043735],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
23,0,23,0,10,75.78919380001025,75.78919380001025,0.037984599999617785,[-0.10546875],[0.1474609375],[1],[0],[0],[1.6252022000262514],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
24,0,24,0,5,77.43120910000289,77.43120910000289,0.018790599948260933,[-0.162109375],[0.400390625],[1],[0],[0],[1.6278619999648072],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
25,0,25,0,5,79.09856710000895,79.09856710000895,0.03598559997044504,[0.1748046875],[0.447265625],[1],[0],[0],[1.70675020001363],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
26,0,26,0,5,80.83121510001365,80.83121510001365,0.02008600003318861,[-0.30859375],[0.287109375],[1],[0],[0],[1.808890699991025],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
27,0,27,0,10,82.69356049998896,82.69356049998896,0.03801760001806542,[0.3564453125],[0.3984375],[1],[0],[0],[1.9724851000355557],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
28,0,28,0,5,84.6780939999735,84.6780939999735,0.017762600036803633,[-0.0341796875],[-0.1728515625],[1],[0],[0],[2.079301799996756],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
29,0,29,0,10,86.82314799999585,86.82314799999585,0.04709569999249652,[-0.4296875],[0.1669921875],[1],[0],[0],[1.959517000010237],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
30,0,30,0,5,88.79653679998592,88.79653679998592,0.01866210001753643,[0.0302734375],[0.4921875],[1],[0],[0],[2.196156899968628],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
31,0,31,0,10,91.05592090002028,91.05592090002028,0.05217809998430312,[-0.0205078125],[0.0771484375],[1],[0],[0],[1.872266500024125],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
32,0,32,0,10,92.97295029996894,92.97295029996894,0.036547600000631064,[0.0380859375],[-0.447265625],[1],[0],[0],[2.412266900006216],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
33,0,33,0,10,95.42993440001737,95.42993440001737,0.04664660000707954,[-0.470703125],[-0.0419921875],[1],[0],[0],[2.278296400036197],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
34,0,34,0,5,97.73047329997644,97.73047329997644,0.021209499973338097,[0.0263671875],[-0.3505859375],[1],[0],[0],[2.025508399994578],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
35,0,35,0,5,99.78349489998072,99.78349489998072,0.02182280004490167,[0.2822265625],[-0.087890625],[1],[0],[0],[1.5899724999908358],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
36,0,36,0,5,101.42330809996929,101.42330809996929,0.036335500015411526,[-0.3486328125],[-0.4697265625],[1],[0],[0],[2.4921912999707274],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
37,0,37,0,5,103.94216570002027,103.94216570002027,0.03225580003345385,[-0.0244140625],[0.333984375],[1],[0],[0],[1.9293265000451356],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
38,0,38,0,5,105.92331980000017,105.92331980000017,0.03337469999678433,[0.4755859375],[0.115234375],[1],[0],[0],[1.7273271000012755],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
39,0,39,0,5,107.66898489999585,107.66898489999585,0.023465999984182417,[0.052734375],[0.3369140625],[1],[0],[0],[1.5531413999851793],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
40,0,40,0,10,109.27751310000895,109.27751310000895,0.044328999996650964,[-0.1728515625],[0.37890625],[1],[0],[0],[1.7664868000429124],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
41,0,41,0,10,111.08931040001335,111.08931040001335,0.03691160003654659,[0.1669921875],[-0.111328125],[1],[0],[0],[2.226295299944468],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
42,0,42,0,10,113.36843899998348,113.36843899998348,0.04825770005118102,[0.298828125],[0.177734375],[1],[0],[0],[1.6965285000042059],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
43,0,43,0,10,115.1122716999962,115.1122716999962,0.03774400003021583,[-0.298828125],[0.2275390625],[1],[0],[0],[2.1054708000156097],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
44,0,44,0,5,117.22999640001217,117.22999640001217,0.018458799982909113,[0.4658203125],[-0.24609375],[1],[0],[0],[1.8625164000550285],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
45,0,45,0,10,119.13885129999835,119.13885129999835,0.040642900043167174,[-0.48828125],[0.1025390625],[1],[0],[0],[2.140732500003651],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
46,0,46,0,10,121.34997400001157,121.34997400001157,0.05889970000134781,[-0.189453125],[0.2373046875],[1],[0],[0],[1.9666432999656536],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
47,0,47,0,10,123.37728409998817,123.37728409998817,0.05125139997107908,[-0.3720703125],[-0.1640625],[1],[0],[0],[2.53824560000794],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
48,0,48,0,10,125.95938569999998,125.95938569999998,0.04134130000602454,[-0.3740234375],[0.158203125],[1],[0],[0],[1.4050006999750622],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
49,0,49,0,10,127.40507759997854,127.40507759997854,0.03566110000247136,[0.1552734375],[-0.44140625],[1],[0],[0],[2.293690000020433],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
50,0,50,0,5,129.71406849997584,129.71406849997584,0.019005300011485815,[0.41015625],[0.0458984375],[1],[0],[0],[2.210394699999597],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
51,0,51,0,5,131.95198630000232,131.95198630000232,0.02140159998089075,[0.224609375],[0.046875],[1],[0],[0],[1.6900276999804191],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
52,0,52,0,5,133.669969199982,133.669969199982,0.020611500018276274,[-0.4658203125],[0.4150390625],[1],[0],[0],[1.8585682999691926],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
53,0,53,0,10,135.5815308999736,135.5815308999736,0.03865509998286143,[0.3212890625],[-0.2001953125],[1],[0],[0],[2.036690999986604],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
54,0,54,0,10,137.6585414999863,137.6585414999863,0.03559809998841956,[-0.1259765625],[0.1513671875],[1],[0],[0],[1.4775513000204228],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
55,0,55,0,5,139.15153969998937,139.15153969998937,0.02095890004420653,[-0.2705078125],[0.4736328125],[1],[0],[0],[1.559435500006657],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
56,0,56,0,5,140.73888550000265,140.73888550000265,0.021448699990287423,[-0.3427734375],[-0.0126953125],[1],[0],[0],[2.271936600038316],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
57,0,57,0,10,143.0611530999886,143.0611530999886,0.03875579999294132,[-0.166015625],[0.2880859375],[1],[0],[0],[1.489385599968955],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
58,0,58,0,5,144.56808310002089,144.56808310002089,0.019101500045508146,[0.1787109375],[-0.1162109375],[1],[0],[0],[1.7264697999926284],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
59,0,59,0,5,146.3194180999999,146.3194180999999,0.020167000009678304,[-0.3916015625],[-0.3076171875],[1],[0],[0],[1.7078329000505619],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
60,0,60,0,10,148.08132320002187,148.08132320002187,0.038166999991517514,[-0.24609375],[0.400390625],[1],[0],[0],[2.8046223999699578],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
61,0,61,0,5,150.90004869998666,150.90004869998666,0.01878539996687323,[-0.3759765625],[0.3349609375],[1],[0],[0],[1.4609174999641255],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
62,0,62,0,10,152.41462439997122,152.41462439997122,0.03989110002294183,[0.388671875],[-0.4736328125],[1],[0],[0],[2.3052022000192665],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
63,0,63,0,5,154.73781229997985,154.73781229997985,0.023996500007342547,[-0.435546875],[-0.00390625],[1],[0],[0],[2.1390855999779887],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
64,0,64,0,5,156.9252540000016,156.9252540000016,0.033071800018660724,[0.087890625],[0.07421875],[1],[0],[0],[1.610814500018023],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
65,0,65,0,5,158.5777702999767,158.5777702999767,0.0356374999973923,[0.357421875],[0.3095703125],[1],[0],[0],[1.3245600999798626],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
66,0,66,0,10,159.95867349999025,159.95867349999025,0.046398799982853234,[-0.16015625],[0.3154296875],[1],[0],[0],[1.6680314000113867],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
67,0,67,0,5,161.6666507999762,161.6666507999762,0.03445199999259785,[0.056640625],[0.1572265625],[1],[0],[0],[1.6700695000472479],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
68,0,68,0,10,163.38268330000574,163.38268330000574,0.036860299995169044,[-0.2568359375],[-0.275390625],[1],[0],[0],[1.9905526000075042],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
